id,tag,puuid
Q蛇醬與鼠牛虎兔龍蛇馬羊猴雞狗豬,snake,D1oA9FEYgaf_dgQSYycwycfr2ofzC-5kAQofR8aC1Bh4dV1Y6pWsEn4ca2c7qx_7-OLYPEF5upPnZA
阿狗汪汪汪,2266,MYOOriHSwafTIcXZhFI68Bttw7xIssbdAAzksXFWQ22P22jYt2cCFsANjltEfNm0gK5syCyDjjOX_A
符號動態系統,tw2,ANT1O8g7O3iRxXuzjzboqrtrqQsvCJIKFBdGzv7WPEu4qoZdwu0c8dp-cWjQAzsJVGqZS9KkETeX5w
章魚大西瓜,1234,kGbiax6rXZtSQ4GzgxYAtkrSG7lop2drr5Ed4xvlFgsc53NddAjfKfArvfEra-vOnYnERDFD0bt-GQ
ouo,9081,Md_IP-yX5ctUuovYF29cs0TMj9byZQnVtZLwCi-wvXFZfJz_EZ64vNUsp3lSlE71vWMTNCk-3J65IQ
政治大學動態系統第二把交椅蔡承育,math,prAsjWl-4yZLjZNXuUnMH9XRodwBzrcEtpcRDSsw1S6Yz6zCD09ov_3U-qjb4SjBZ3D9SPsS2S_ZyA
蔡英雯玲,9899,SPFdseU0DOtsnX4ogzEyUNGgmBYjPfEmt_6evemjvF3vxi2ODNdx_d5VAx5fZxOy9sLOAvgJ3Y84ZQ
天才945,tw2,jBd7fhBd24mGf1vCaPT2xBqJzpG9GgLLFSF9F81SnnfOhmKAWpcYLEIkDCVEibKkrQbd9dbXwnP0Vw
勒貝格測度,9401,70UBOFt2eYvIS0w9Gmd-SVEAeNQdnbN5Dy_KgMtfzq3I0vxCBPl-5g9qymGpkvXGANx88vKng58ahg
細微的鐵牌操作,tw2,sCX0I4jdS9btpVngUDHW-7HCb_QsnFeCzbh9XVWsj__emjMvb-XYRnt6buLuT6HYPhtx9OphqAfvOA
